"Genotype","SbDiv_2021_spatially_corrected_blues","SAP_Spatially_Corrected_blues","In_Snplines"
"BTx3197",65.4327259708403,NA,"Yes"
"BTx378",69.5655168982479,NA,"Yes"
"BTx399",66.6490106823702,NA,"Yes"
"BTx643",65.9860018146573,NA,"No"
"BTx645",69.8233561702209,NA,"Yes"
"check",NA,59.9035611155399,"No"
"Comb7078",62.0668987330766,NA,"Yes"
"commercialUNL",NA,52.5476168002116,"No"
"Day",64.18109394302,NA,"Yes"
"ElMota",66.7356284981557,NA,"Yes"
"FeteritaGishesh",55.1492052161957,NA,"Yes"
"Intercept",125.939338528805,NA,"No"
"PI152651",55.2768743294485,46.5347177926501,"Yes"
"PI153844",66.0151284587937,NA,"Yes"
"PI153846",65.1332114041644,NA,"Yes"
"PI153852",65.9948200662086,NA,"No"
"PI17548",63.4423829283937,52.3141897987506,"No"
"PI22326",73.757161718609,NA,"Yes"
"PI24969",75.8253062163969,70.878155978181,"Yes"
"PI260213",64.9111620618722,NA,"No"
"PI276837",85.7130758471011,NA,"Yes"
"PI329440",67.0499703977598,52.3513600389468,"No"
"PI34911",72.3586159312107,82.2087764371204,"Yes"
"PI35038",NA,66.3848685310727,"No"
"PI48770",71.4696935699644,65.6344091721022,"Yes"
"PI533745",68.2506434339881,NA,"No"
"PI533746",58.4351404981877,NA,"Yes"
"PI533747",61.0264975740056,NA,"Yes"
"PI533749",69.4388739306824,NA,"Yes"
"PI533750",66.2978941121712,51.3645596436254,"Yes"
"PI533751",64.7818805814305,NA,"Yes"
"PI533752",66.4631818156187,66.7231885390931,"Yes"
"PI533753",65.6576913719975,NA,"Yes"
"PI533754",63.9985316962098,46.9568735042032,"Yes"
"PI533755",74.8339854597736,63.0446232965619,"Yes"
"PI533756",74.107982115907,NA,"No"
"PI533757",66.9937500278038,58.9450999608241,"Yes"
"PI533758",64.7389679806883,53.8678336033171,"Yes"
"PI533759",63.4665559482596,51.5179535136978,"Yes"
"PI533760",65.677661695407,61.1300127650665,"Yes"
"PI533761",75.2834390462719,67.8382735504794,"Yes"
"PI533762",61.1841648355967,53.2755367220697,"Yes"
"PI533763",54.6025647057518,NA,"Yes"
"PI533764",67.7633512591501,NA,"Yes"
"PI533765",66.6551526600421,NA,"Yes"
"PI533766",63.8677278100518,52.0889460571735,"Yes"
"PI533767",64.2463609690815,NA,"Yes"
"PI533768",61.1580754743562,NA,"No"
"PI533769",58.5767409365221,40.5706699070835,"Yes"
"PI533770",61.2537098340361,NA,"Yes"
"PI533771",60.7264799084299,NA,"Yes"
"PI533772",59.4058126502072,NA,"Yes"
"PI533773",64.385381156445,NA,"Yes"
"PI533774",62.4242007602376,NA,"Yes"
"PI533775",66.1084931694939,NA,"Yes"
"PI533776",64.7336815058012,51.8438688390147,"Yes"
"PI533777",62.6189555061275,NA,"Yes"
"PI533778",59.9303527418432,NA,"Yes"
"PI533779",57.3075867289518,NA,"Yes"
"PI533780",56.09133694617,NA,"Yes"
"PI533781",61.3596143475806,NA,"Yes"
