"Plot","Treatment","Rep","Row","Column","PINumber","DaysToFlower"
4001,"HN",4,2,10,"SC0448",80
4002,"HN",4,2,11,"PI534006",83
4003,"HN",4,2,12,"PI534097",68
4004,"HN",4,2,13,"SC1216",69
4005,"HN",4,2,14,"SC0582",76
4006,"HN",4,2,15,"PI533882",71
4007,"HN",4,2,16,"PI597952",64
4008,"HN",4,2,17,"PI642791",68
4009,"HN",4,2,18,"PI533788",65
4010,"HN",4,2,19,"PI656062",76
4011,"HN",4,2,20,"PI576391",69
4012,"HN",4,2,21,"Border",62
4013,"HN",4,2,22,"Border",62
4014,"HN",4,2,23,"PI656071",69
4015,"HN",4,3,10,"PI533966",69
4016,"HN",4,3,11,"PI576340",69
4017,"HN",4,3,12,"PI533955",66
4018,"HN",4,3,13,"PI576368",69
4020,"HN",4,3,15,"SC0858",66
4021,"HN",4,3,16,"PI533827",71
4022,"HN",4,3,17,"PI533805",61
4023,"HN",4,3,18,"PI533990",63
4024,"HN",4,3,19,"PI533804",58
4025,"HN",4,3,20,"SC0287",53
4026,"HN",4,3,21,"PI534093",59
4027,"HN",4,3,22,"SC0604",60
4028,"HN",4,3,23,"PI656096",64
4029,"HN",4,4,10,"PI564163",64
4030,"HN",4,4,11,"PI533887",61
4031,"HN",4,4,12,"SC0895",71
4033,"HN",4,4,14,"PI533797",78
4034,"HN",4,4,15,"PI533864",52
4035,"HN",4,4,16,"PI609456",84
4036,"HN",4,4,17,"PI534119",66
4037,"HN",4,4,18,"SC0921",78
4038,"HN",4,4,19,"SC0965",52
4039,"HN",4,4,20,"PI533884",66
4040,"HN",4,4,21,"PI576380",69
4041,"HN",4,4,22,"PI576338",64
4042,"HN",4,4,23,"PI576328",66
4043,"HN",4,5,10,"PI534080",61
4044,"HN",4,5,11,"PI597974",59
4045,"HN",4,5,12,"PI564163",64
4046,"HN",4,5,13,"PI533976",66
4047,"HN",4,5,14,"PI533824",76
4048,"HN",4,5,15,"PI533836",66
4049,"HN",4,5,16,"PI595715",61
4050,"HN",4,5,17,"PI533940",69
4051,"HN",4,5,18,"PI576387",62
4052,"HN",4,5,19,"PI576335",64
4053,"HN",4,5,20,"PI595747",62
4054,"HN",4,5,21,"PI564163",64
4055,"HN",4,5,22,"PI656108",60
4056,"HN",4,5,23,"PI533885",61
4057,"HN",4,6,10,"PI533754",64
4058,"HN",4,6,11,"PI656095",62
4059,"HN",4,6,12,"PI533844",77
4060,"HN",4,6,13,"PI534128",68
4061,"HN",4,6,14,"PI533932",76
4062,"HN",4,6,15,"SC0276",61
4063,"HN",4,6,16,"PI534161",88
4064,"HN",4,6,17,"PI656090",66
4065,"HN",4,6,18,"PI576385",60
4066,"HN",4,6,19,"PI533996",63
4067,"HN",4,6,20,"PI533765",65
4068,"HN",4,6,21,"PI534015",69
4069,"HN",4,6,22,"PI153852",64
4070,"HN",4,6,23,"PI597954",64
4071,"HN",4,7,10,"PI656018",75
4072,"HN",4,7,11,"PI576400",66
4073,"HN",4,7,12,"PI656019",62
4074,"HN",4,7,13,"PI576373",66
4075,"HN",4,7,14,"PI533991",66
4076,"HN",4,7,15,"PI613536",69
4077,"HN",4,7,16,"PI564163",64
4078,"HN",4,7,17,"PI533751",66
4079,"HN",4,7,18,"PI533790",58
4080,"HN",4,7,19,"PI597966",64
4081,"HN",4,7,20,"SC0456",66
4082,"HN",4,7,21,"PI564165",76
4083,"HN",4,7,22,"PI533822",68
4084,"HN",4,7,23,"PI534135",69
4085,"HN",4,8,10,"PI533821",68
4086,"HN",4,8,11,"PI534142",66
4087,"HN",4,8,12,"PI533771",61
4088,"HN",4,8,13,"PI534165",68
4089,"HN",4,8,14,"PI655994",64
4090,"HN",4,8,15,"PI656060",64
4091,"HN",4,8,16,"PI533780",58
4092,"HN",4,8,17,"PI534094",69
4093,"HN",4,8,18,"PI576358",69
4094,"HN",4,8,19,"PI533974",73
4095,"HN",4,8,20,"PI533807",69
4096,"HN",4,8,21,"PI534111",62
4097,"HN",4,8,22,"PI576343",62
4098,"HN",4,8,23,"PI576405",69
4099,"HN",4,9,10,"PI656041",75
4100,"HN",4,9,11,"PI659696",65
4101,"HN",4,9,12,"Tx430",68
4102,"HN",4,9,13,"PI656114",64
4103,"HN",4,9,14,"PI576374",69
4104,"HN",4,9,15,"PI576367",68
4105,"HN",4,9,16,"PI576418",75
4106,"HN",4,9,17,"PI564163",63
4107,"HN",4,9,18,"PI534034",68
4108,"HN",4,9,19,"SC0235",71
4109,"HN",4,9,20,"SC0479",82
4110,"HN",4,9,21,"PI533857",71
4111,"HN",4,9,22,"PI533927",68
4112,"HN",4,9,23,"PI576352",65
4113,"HN",4,10,10,"PI533755",71
4114,"HN",4,10,11,"PI533769",60
4115,"HN",4,10,12,"PI533815",62
4116,"HN",4,10,13,"PI597953",51
4117,"HN",4,10,14,"SC1442",61
4118,"HN",4,10,15,"PI595712",58
4119,"HN",4,10,16,"PI597956",59
4120,"HN",4,10,17,"PI655992",66
4121,"HN",4,10,18,"PI533975",64
4122,"HN",4,10,19,"PI533977",63
4123,"HN",4,10,20,"PI534130",69
4124,"HN",4,10,21,"SC1107",62
4125,"HN",4,10,22,"PI576392",59
4126,"HN",4,10,23,"PI533850",71
4127,"HN",4,11,10,"PI656006",71
4128,"HN",4,11,11,"PI534002",66
4129,"HN",4,11,12,"PI576394",67
4130,"HN",4,11,13,"PI656049",72
4131,"HN",4,11,14,"PI564163",62
4132,"HN",4,11,15,"PI656093",68
4133,"HN",4,11,16,"PI533967",80
4134,"HN",4,11,17,"SC0823",67
4135,"HN",4,11,18,"PI533841",68
4136,"HN",4,11,19,"PI576382",57
4137,"HN",4,11,20,"PI533911",64
4138,"HN",4,11,21,"PI597960",71
4139,"HN",4,11,22,"PI597971",64
4140,"HN",4,11,23,"PI564163",63
4141,"HN",4,12,10,"PI595746",73
4142,"HN",4,12,11,"PI656094",64
4143,"HN",4,12,12,"PI659753",89
4144,"HN",4,12,13,"SC1119",66
4145,"HN",4,12,14,"PI534090",62
4146,"HN",4,12,15,"PI533863",71
4147,"HN",4,12,16,"PI534133",69
4148,"HN",4,12,17,"PI533775",68
4149,"HN",4,12,18,"PI561072",69
4150,"HN",4,12,19,"PI576372",66
4151,"HN",4,12,20,"PI576390",60
4152,"HN",4,12,21,"PI656032",80
4153,"HN",4,12,22,"PI153844",64
4154,"HN",4,12,23,"PI595732",68
4155,"HN",4,13,10,"PI595735",66
4156,"HN",4,13,11,"PI534131",77
4157,"HN",4,13,12,"PI656020",66
4159,"HN",4,13,14,"PI534045",64
4160,"HN",4,13,15,"PI656050",66
4161,"HN",4,13,16,"PI564163",65
4162,"HN",4,13,17,"PI533933",74
4163,"HN",4,13,18,"PI533886",60
4164,"HN",4,13,19,"PI597965",62
4165,"HN",4,13,20,"ElMota",66
4166,"HN",4,13,21,"PI534089",70
4167,"HN",4,13,22,"PI656070",69
4168,"HN",4,13,23,"PI534151",67
4169,"HN",4,14,10,"PI595700",84
4170,"HN",4,14,11,"PI533943",69
4171,"HN",4,14,12,"PI534013",87
4172,"HN",4,14,13,"PI533833",66
4173,"HN",4,14,14,"PI533808",64
4174,"HN",4,14,15,"SC0263",66
4175,"HN",4,14,16,"PI576375",67
4176,"HN",4,14,17,"PI533764",69
4177,"HN",4,14,18,"RTAM2566",66
4178,"HN",4,14,19,"PI533799",66
4179,"HN",4,14,20,"PI595733",66
4180,"HN",4,14,21,"PI656025",62
4181,"HN",4,14,22,"PI152651",53
4182,"HN",4,14,23,"PI534163",69
4183,"HN",4,15,10,"PI534004",84
4184,"HN",4,15,11,"PI534159",76
4185,"HN",4,15,12,"PI533859",82
4186,"HN",4,15,13,"PI534114",69
4187,"HN",4,15,14,"PI534079",64
4188,"HN",4,15,15,"PI564164",73
4189,"HN",4,15,16,"PI576432",62
4190,"HN",4,15,17,"PI533986",67
4191,"HN",4,15,18,"PI656048",73
4192,"HN",4,15,19,"PI34911",71
4193,"HN",4,15,20,"PI576412",69
4194,"HN",4,15,21,"BTx378",69
4195,"HN",4,15,22,"PI576370",65
4196,"HN",4,15,23,"PI533856",80
4197,"HN",4,16,10,"PI597973",69
4198,"HN",4,16,11,"PI533785",66
4199,"HN",4,16,12,"PI656083",66
4200,"HN",4,16,13,"PI533876",55
4201,"HN",4,16,14,"SC0864",64
4202,"HN",4,16,15,"PI597969",68
4203,"HN",4,16,16,"PI576349",64
4204,"HN",4,16,17,"PI534024",80
4205,"HN",4,16,18,"PI576361",68
4206,"HN",4,16,19,"PI564163",63
4207,"HN",4,16,20,"PI533883",58
4208,"HN",4,16,21,"Day",64
4209,"HN",4,16,22,"PI533964",68
4210,"HN",4,16,23,"PI576386",76
4211,"HN",4,17,10,"PI534043",68
4212,"HN",4,17,11,"PI564163",65
4213,"HN",4,17,12,"PI534053",71
4214,"HN",4,17,13,"PI534124",65
4215,"HN",4,17,14,"PI651496",82
4216,"HN",4,17,15,"PI534127",69
4217,"HN",4,17,16,"PI534023",83
4218,"HN",4,17,17,"PI656036",75
4219,"HN",4,17,18,"PI534087",58
4220,"HN",4,17,19,"PI597977",51
4221,"HN",4,17,20,"SC0878",66
4222,"HN",4,17,21,"PI534062",76
4223,"HN",4,17,22,"SC0914",66
4224,"HN",4,17,23,"PI534158",63
4225,"HN",4,18,10,"PI22326",76
4226,"HN",4,18,11,"PI534147",64
4227,"HN",4,18,12,"PI641874",62
4228,"HN",4,18,13,"PI533810",77
4229,"HN",4,18,14,"PI576347",53
4230,"HN",4,18,15,"PI576417",67
4231,"HN",4,18,16,"PI576430",60
4232,"HN",4,18,17,"PI656012",75
4233,"HN",4,18,18,"PI601816",67
4234,"HN",4,18,19,"PI534155",75
4235,"HN",4,18,20,"PI576427",58
4236,"HN",4,18,21,"PI533985",64
4237,"HN",4,18,22,"SC0542",60
4238,"HN",4,18,23,"SC0837",71
4239,"HN",4,19,10,"PI534145",59
4240,"HN",4,19,11,"SC0343",64
4241,"HN",4,19,12,"SC0602",66
4242,"HN",4,19,13,"PI534022",75
4243,"HN",4,19,14,"PI576421",64
4244,"HN",4,19,15,"SC1114",60
4245,"HN",4,19,16,"PI656028",75
4246,"HN",4,19,17,"PI534077",63
4247,"HN",4,19,18,"PI656010",66
4248,"HN",4,19,19,"SC0893",68
4249,"HN",4,19,20,"PI574455",68
4250,"HN",4,19,21,"PI595728",75
