Genotype,value
BTx3197,65.4327259708403
BTx378,69.5655168982479
BTx399,66.6490106823702
BTx643,65.9860018146573
BTx645,69.8233561702209
Comb7078,62.0668987330766
Day,64.18109394302
ElMota,66.7356284981557
FeteritaGishesh,55.1492052161957
PI152651,55.2768743294485
PI153844,66.0151284587937
PI153846,65.1332114041644
PI153852,65.9948200662086
PI17548,63.4423829283937
PI22326,73.757161718609
PI24969,75.8253062163969
PI260213,64.9111620618722
PI276837,85.7130758471011
PI329440,67.0499703977598
PI34911,72.3586159312107
PI48770,71.4696935699644
PI533745,68.2506434339881
PI533746,58.4351404981877
PI533747,61.0264975740056
PI533749,69.4388739306824
PI533750,66.2978941121712
PI533751,64.7818805814305
PI533752,66.4631818156187
PI533753,65.6576913719975
PI533754,63.9985316962098
PI533755,74.8339854597736
PI533756,74.107982115907
PI533757,66.9937500278038
PI533758,64.7389679806883
PI533759,63.4665559482596
PI533760,65.677661695407
PI533761,75.2834390462719
PI533762,61.1841648355967
PI533763,54.6025647057518
PI533764,67.7633512591501
PI533765,66.6551526600421
PI533766,63.8677278100518
PI533767,64.2463609690815
PI533768,61.1580754743562
PI533769,58.5767409365221
PI533770,61.2537098340361
PI533771,60.7264799084299
PI533772,59.4058126502072
PI533773,64.385381156445
PI533774,62.4242007602376
PI533775,66.1084931694939
PI533776,64.7336815058012
PI533777,62.6189555061275
PI533778,59.9303527418432
PI533779,57.3075867289518
PI533780,56.09133694617
PI533781,61.3596143475806
PI533782,51.4685589254745
PI533783,59.6078670067802
PI533784,61.8243038170356
PI533785,66.7649867826287
PI533786,67.7615533322496
PI533787,61.589133595719
PI533788,65.9867353649629
PI533789,71.0114184028868
PI533790,55.2720754686036
PI533791,53.9673640986739
PI533792,61.3681184223717
PI533793,71.8364192751326
PI533794,66.7107058023451
PI533795,66.5873542986795
PI533796,60.862747324189
PI533797,78.6272303658552
PI533798,60.6573061366789
PI533799,67.3640081675579
PI533800,70.7616681208814
PI533801,78.0346547468952
PI533802,61.8506690920659
PI533803,52.3001566590075
PI533804,54.2980964584272
PI533805,62.798137703461
PI533807,70.0848474047866
PI533808,62.9592288424874
PI533809,63.5941188696899
PI533810,77.5214051968543
PI533811,63.9944745420447
PI533812,72.3971493104628
PI533813,69.7406437389365
PI533814,78.9229745077867
PI533815,62.0863165276933
PI533816,63.0639272684914
PI533817,65.1983582662614
PI533818,63.4505737380712
PI533819,58.9558125261894
PI533820,67.513899093986
PI533821,66.0308293499992
PI533822,69.5396380725797
PI533823,65.8825868488571
PI533824,77.0392244739278
PI533825,66.8953565042967
PI533827,71.0065912008511
PI533828,65.3701784015736
PI533829,72.2641611067427
PI533830,62.5296640464146
PI533831,73.7778717549605
PI533832,59.8557152968731
PI533833,66.266076807294
PI533834,73.2322829070892
PI533835,68.8821198807413
PI533836,65.5289590388228
PI533837,66.5421945520549
PI533838,55.0019407052825
PI533839,70.7709129188582
PI533840,58.5986134429108
PI533841,70.1905588016532
PI533842,81.4902686952636
PI533843,69.0881733677368
PI533844,78.2482761782817
PI533845,69.3689788649506
PI533846,66.3407086099848
PI533847,64.2337647158627
PI533848,64.6164507773065
PI533849,62.6366448823355
PI533850,70.0459775246037
PI533851,74.4397065899929
PI533852,72.3513170176668
PI533853,65.4161147102216
PI533854,75.4830247108942
PI533855,69.8509602799362
PI533856,83.0444927413651
PI533857,75.0547575019062
PI533858,77.8065492788609
PI533859,81.0143034249489
PI533860,63.1520309065399
PI533861,75.8620355805656
PI533862,53.8118896349068
PI533863,70.5918119280635
PI533864,51.112579076226
PI533865,67.661322404231
PI533866,61.1033335552235
PI533867,63.6411609514851
PI533869,70.9752131477767
PI533870,59.116261183939
PI533871,63.618229507422
PI533872,64.9359281062252
PI533873,61.9381718081786
PI533874,62.5188434134353
PI533876,55.1270237897431
PI533877,61.4390333194369
PI533878,70.2056603383763
PI533879,65.0742915703809
PI533880,62.308771667897
PI533881,67.0671390192742
PI533882,72.4174877589448
PI533883,54.7898792911284
PI533884,65.3219775399259
PI533885,60.6247288469458
PI533886,66.412676005162
PI533887,59.611514489388
PI533888,69.7679047500919
PI533889,62.5049941022504
PI533890,56.9752766182461
PI533891,64.2151832036105
PI533893,70.4538103751328
PI533894,62.9410959326658
PI533895,64.0825137808085
PI533896,60.0525791443632
PI533897,62.4268770726177
PI533898,62.6246948086983
PI533899,61.3333793753529
PI533900,61.8997280929497
PI533901,69.4627299876899
PI533902,74.9486159951896
PI533903,68.0266470589663
PI533904,65.9255949721298
PI533905,76.2807357790406
PI533906,73.0601304592886
PI533907,78.7120689535793
PI533908,67.204930978944
PI533909,62.8096954177445
PI533910,69.9268801415915
PI533911,65.0949146058205
PI533912,49.8259780201413
PI533913,64.5288002535866
PI533914,63.8730156597745
PI533915,62.442232684616
PI533916,63.0475823323833
PI533917,61.8636282848037
PI533918,62.2293094093095
PI533919,67.2093355717232
PI533920,63.6861166481552
PI533921,67.3269658469853
PI533922,73.8505499074826
PI533923,61.5889251895441
PI533924,66.2971476458313
PI533925,81.3738127700843
PI533926,57.7547347483322
PI533927,72.4777281432485
PI533928,69.9238122029135
