plot,Rep,Row,Column,PINumber,Plant Height.sp,DaysToFlower.sp,TillersPerPlant.sp,StemDiameterLower.sp,StemDiameterUpper.sp,PaniclesPerPlant.sp,LeafNumber.sp,LeafLength.sp,LeafWidth.sp,SeedMassPerPlant.sp,SeedProtein.sp,SeedOil.sp,SeedAsh.sp,SeedStarch.sp,SeedMoisture.sp
4001,4,2,10,SC0448,1.340979964,74.87057748,0.249307747,NA,NA,1.426520732,12.13841058,59.30143445,7.125755858,28.89332997,15.34521499,4.553757444,1.670325522,72.07324267,8.433223118
4002,4,2,11,PI534006,1.024158966,76.1390462,0.266663273,NA,NA,1.413315196,12.47054026,66.21429257,7.465163653,26.73064765,16.88317914,4.303150631,2.027502061,70.09167454,8.996501782
4003,4,2,12,PI534097,0.907339121,68.41081188,0.94889866,21.54948812,8.521173668,2.15009165,10.47267807,66.25715072,6.989286637,45.29089503,14.89206395,3.732544692,1.758993798,72.1650542,7.675380995
4004,4,2,13,SC1216,0.865526893,68.68281288,0.465775083,NA,NA,1.386844442,11.1448298,64.33500889,6.382891471,27.1107803,16.73298764,3.346940499,1.849398244,67.72333737,8.280281331
4005,4,2,14,SC0582,1.163730319,71.94976617,0.651864021,NA,NA,1.37355696,12.14700041,63.01286711,7.13563606,24.2941855,16.53682737,2.986339048,1.773441822,61.14582892,9.182743662
4006,4,2,15,PI533882,0.991954637,69.2088999,0.996518262,NA,NA,1.860174775,10.97919597,70.39072537,7.85701311,30.38595676,16.46155107,4.215741179,1.766084394,70.24233616,8.598435124
4007,4,2,16,PI597952,0.850201803,65.46621522,1.009058175,21.8389544,9.815989943,1.596616496,9.816423982,69.60358369,8.226476993,33.76155223,16.61981676,2.705147392,1.837694476,66.7006639,7.910429013
4008,4,2,17,PI642791,0.973474729,67.23451046,0.353966453,22.37406355,10.23340143,1.33278641,11.6536929,64.88144205,7.578606729,39.71993418,13.52222043,4.14455787,1.493857965,71.17047732,7.988967443
4009,4,2,18,PI533788,0.826780397,65.53055029,0.361007977,NA,NA,1.568582354,9.986011952,63.93930049,8.993252309,29.92000216,16.93475475,4.46397256,1.890161855,69.1877866,9.286064168
4010,4,2,19,PI656062,1.090126024,70.87260961,1.615072426,23.87301303,10.99815285,NA,12.07339155,70.82715898,8.055594712,NA,NA,NA,NA,NA,NA
4011,4,2,20,PI576391,0.988516772,67.27594429,0.701238228,NA,NA,2.288631619,10.49083708,69.44501749,8.431096854,57.19062993,14.82785579,4.377814427,1.605061437,69.57119924,8.148076941
4012,4,2,21,Border,0.876954996,63.7495997,0.864824167,NA,NA,1.272753519,10.16334704,68.07287596,7.710383089,38.8905525,14.35685735,3.772241543,1.604716108,71.98437697,7.704794085
4013,4,2,22,Border,0.910440677,63.7933215,0.696399572,NA,NA,1.256283326,11.33091611,64.03573432,7.433984464,39.61205889,13.79258087,3.816672424,1.641336302,71.54990492,8.13355761
4014,4,2,23,PI656071,1.223971582,67.39741773,1.191502044,21.42853094,10.43228464,1.739276267,12.16853876,62.44859255,7.827372116,61.35486941,14.14741108,4.141106569,1.619879239,70.14948754,8.243811925
4015,4,3,10,PI533966,1.100843969,69.29134576,1.084961874,NA,NA,2.396095299,11.30845041,68.51056249,7.08530994,108.6369294,13.91084652,4.33269656,1.568732707,70.80713229,8.253374194
