"SNP","Chromosome","Position.","P.value","maf","nobs","Rsquare.of.Model.without.SNP","Rsquare.of.Model.with.SNP","effect","FDR"
"Sobic.001G000200",1,33482,0.690784821478153,0.411130885940398,738,0.599778713669509,0.599865062307465,-0.258980279583452,0.999992566633523
"Sobic.001G000300",1,44191,0.97179245402873,0.345889879670436,738,0.599778713669509,0.599779395901714,-0.0107254221494105,0.999992566633523
"Sobic.001G000400",1,53961,0.19838239810875,0.384543933490599,738,0.599778713669509,0.600682342636816,0.525320879934245,0.999992566633523
"Sobic.001G000700",1,82193,0.281418645648699,0.437443688456121,738,0.599778713669509,0.600412272525392,0.386192214385154,0.999992566633523
"Sobic.001G000800",1,86838,0.137207354236081,0.440592782960506,738,0.599778713669509,0.600985836706635,0.755396566153383,0.999992566633523
"Sobic.001G000900",1,100961,0.978576152850077,0.159019444143089,738,0.599778713669509,0.599779107146889,-0.00723314922646626,0.999992566633523
"Sobic.001G001000",1,115542,0.484011933441207,0.120508697858664,738,0.599778713669509,0.600046059542114,-0.184706831038665,0.999992566633523
"Sobic.001G001066",1,124534,0.920610128333936,0.062146947171418,738,0.599778713669509,0.59978413355871,0.0290608281716877,0.999992566633523
"Sobic.001G001200",1,131785,0.0451037134932779,0.415358971201559,738,0.599778713669509,0.601975309920621,-0.654537580819939,0.976075817983198
"Sobic.001G001300",1,135092,0.437372787520294,0.43585763287414,738,0.599778713669509,0.600107955993005,0.286263085588692,0.999992566633523
"Sobic.001G001400",1,147264,0.773925640223175,0.382078983149545,738,0.599778713669509,0.599823735815829,-0.133143294985743,0.999992566633523
"Sobic.001G001800",1,176550,0.40739174210136,0.315471804812292,738,0.599778713669509,0.600153411187445,0.410790302663409,0.999992566633523
"Sobic.001G001900",1,179697,0.897074023063828,0.360687030255029,738,0.599778713669509,0.599787844177436,-0.0570636168167671,0.999992566633523
"Sobic.001G002000",1,186027,0.479705724286965,0.431090908540727,738,0.599778713669509,0.60005136772803,-0.647486891909355,0.999992566633523
"Sobic.001G002200",1,216044,0.0553028585195879,0.25042021751157,738,0.599778713669509,0.60178781699485,0.638331491185922,0.99645996468289
"Sobic.001G002300",1,233291,0.728492386088562,0.179451253942543,738,0.599778713669509,0.599844468038468,0.0858739451680819,0.999992566633523
"Sobic.001G002400",1,239289,0.981931946707003,0.281267480142591,738,0.599778713669509,0.59977899351439,-0.00669786577649825,0.999992566633523
"Sobic.001G002500",1,267110,0.0500053010918358,0.222107790338886,738,0.599778713669509,0.601880146705603,-0.553159072857558,0.991261547593629
"Sobic.001G002600",1,273550,0.915665842881108,0.394401451223116,738,0.599778713669509,0.599784832278816,0.0381456868461319,0.999992566633523
"Sobic.001G002700",1,280244,0.187120182619193,0.41148710395911,738,0.599778713669509,0.600729323382422,-0.51558343441547,0.999992566633523
"Sobic.001G002800",1,283725,0.0589606499866629,0.315676723192811,738,0.599778713669509,0.601729392412325,0.570810014728531,0.99645996468289
"Sobic.001G003000",1,295180,0.614264000360677,0.432510948058808,738,0.599778713669509,0.599917335076261,-0.264628230971707,0.999992566633523
"Sobic.001G003100",1,301289,0.804657249595715,0.375492723761868,738,0.599778713669509,0.599812091038299,-0.17549129998899,0.999992566633523
"Sobic.001G003200",1,304729,0.371619815043977,0.498304831746467,738,0.599778713669509,0.600214497393953,-0.474002982253529,0.999992566633523
"Sobic.001G003300",1,315325,0.306229113823935,0.403938974768413,738,0.599778713669509,0.600350328335223,-0.315755809049369,0.999992566633523
"Sobic.001G003400",1,319992,0.724997437460718,0.295418872847035,738,0.599778713669509,0.599846243942335,0.165960981152216,0.999992566633523
"Sobic.001G003500",1,324617,0.15231384345452,0.481049843900044,738,0.599778713669509,0.600898238168327,0.685766055553985,0.999992566633523
"Sobic.001G003600",1,331112,0.43952628365202,0.160899817523721,738,0.599778713669509,0.600104872446296,0.218974615346448,0.999992566633523
"Sobic.001G003700",1,351534,0.863836253856853,0.362849770639032,738,0.599778713669509,0.599794760937648,-0.0646814321877295,0.999992566633523
"Sobic.001G003766",1,354708,0.270684149485511,0.184909438494085,738,0.599778713669509,0.600441265572729,-0.329028139461352,0.999992566633523
"Sobic.001G003832",1,358671,0.802594739159102,0.409905227518364,738,0.599778713669509,0.599812814558895,0.101612865467602,0.999992566633523
"Sobic.001G003900",1,357767,0.583400659725619,0.41673619895864,738,0.599778713669509,0.599942856815302,0.205037203236085,0.999992566633523
"Sobic.001G004000",1,374429,0.551679555410805,0.409086811068715,738,0.599778713669509,0.599972087302001,0.192818448609829,0.999992566633523
"Sobic.001G004100",1,380414,0.784449731017828,0.451576994731816,738,0.599778713669509,0.599819537746758,0.145078885740515,0.999992566633523
"Sobic.001G004200",1,390310,0.542331811573471,0.410195704914557,738,0.599778713669509,0.599981322990612,-0.320732431807756,0.999992566633523
"Sobic.001G004300",1,398821,0.67050910166148,0.287906603504528,738,0.599778713669509,0.599877489309087,-0.161228859047063,0.999992566633523
"Sobic.001G004400",1,407874,0.592050627748323,0.456465218060391,738,0.599778713669509,0.599935424549551,0.469055865320302,0.999992566633523
"Sobic.001G004500",1,413987,0.658987270759932,0.206202687862193,738,0.599778713669509,0.599884993099195,0.136282738028326,0.999992566633523
"Sobic.001G004600",1,423260,0.468361926415653,0.11528779650613,738,0.599778713669509,0.600065731058278,-0.200258266834207,0.999992566633523
"Sobic.001G004700",1,426109,0.929235484784538,0.446729327673063,738,0.599778713669509,0.599783016901524,0.0357793363066861,0.999992566633523
"Sobic.001G004800",1,429358,0.110264490058385,0.143069774032432,738,0.599778713669509,0.601172734838368,-0.415818531596016,0.999992566633523
"Sobic.001G004901",1,432025,0.198944487937465,0.367985646296877,738,0.599778713669509,0.600680080242173,-0.621175643436606,0.999992566633523
"Sobic.001G005000",1,436933,0.0627474380351265,0.189920525545991,738,0.599778713669509,0.601672841509745,-0.54544320491214,0.99645996468289
"Sobic.001G005100",1,440136,0.938976837066667,0.0840054547868852,738,0.599778713669509,0.599781911530032,0.0212089236097927,0.999992566633523
"Sobic.001G005200",1,445757,0.108117423298886,0.447188466970285,738,0.599778713669509,0.601189763014581,-0.894602936090064,0.999992566633523
"Sobic.001G005300",1,474337,0.200903916620358,0.228239514637212,738,0.599778713669509,0.600672251997002,-0.568733915972828,0.999992566633523
"Sobic.001G005500",1,547306,0.840345905228119,0.395694113583805,738,0.599778713669509,0.599800857433576,0.120233559278709,0.999992566633523
"Sobic.001G005600",1,552298,0.349837751738895,0.458237431959962,738,0.599778713669509,0.600255906105309,0.487809002423095,0.999992566633523
"Sobic.001G005700",1,565579,0.831338947562062,0.298034231300906,738,0.599778713669509,0.599803465673153,0.101214835647445,0.999992566633523
"Sobic.001G005800",1,570641,0.8556039884108,0.403711137737902,738,0.599778713669509,0.599796782233856,0.0803443428822276,0.999992566633523
"Sobic.001G005900",1,586695,0.939604793565441,0.453845442434645,738,0.599778713669509,0.599781845928052,-0.0470781504244429,0.999992566633523
"Sobic.001G006000",1,589299,0.201320632991682,0.497313008788806,738,0.599778713669509,0.600670598733662,-0.813614602164228,0.999992566633523
"Sobic.001G006101",1,591691,0.552027670451752,0.102445731056332,738,0.599778713669509,0.599971749003168,-0.17105794164239,0.999992566633523
"Sobic.001G006201",1,595281,0.773130768369917,0.365971465847781,738,0.599778713669509,0.599824061917395,0.0942105182657341,0.999992566633523
"Sobic.001G006400",1,609060,0.126817873106043,0.475115079105909,738,0.599778713669509,0.601052625919791,0.775631168594302,0.999992566633523
"Sobic.001G006500",1,612587,0.56440356830104,0.432406489301655,738,0.599778713669509,0.599959979442713,0.215578591229376,0.999992566633523
"Sobic.001G006600",1,689856,0.0239546262299904,0.308130192999531,738,0.599778713669509,0.602570003212103,-0.740962813311197,0.937742897104315
"Sobic.001G006700",1,710167,0.353608240217219,0.366693024161146,738,0.599778713669509,0.600248488019782,0.478648038074723,0.999992566633523
"Sobic.001G006800",1,715623,0.777028372950464,0.332263796874747,738,0.599778713669509,0.599822475074158,-0.105835796962383,0.999992566633523
"Sobic.001G006900",1,721447,0.0575860326565092,0.387852476887094,738,0.599778713669509,0.601750884329327,0.63194147169643,0.99645996468289
"Sobic.001G007000",1,731056,0.50735541924631,0.477588608298263,738,0.599778713669509,0.600018600742846,-0.506503346726705,0.999992566633523
"Sobic.001G007100",1,738003,0.128276517683843,0.421879705311862,738,0.599778713669509,0.601042887200978,0.608610601005555,0.999992566633523
"Sobic.001G007200",1,742965,0.19451318682806,0.45226736331915,738,0.599778713669509,0.600698123193311,-0.804063076169339,0.999992566633523
"Sobic.001G007300",1,747019,0.848345157236561,0.438182388669659,738,0.599778713669509,0.599798667426058,0.0911049093316425,0.999992566633523
"Sobic.001G007400",1,749571,0.701276920642324,0.462669689370438,738,0.599778713669509,0.599859009895233,0.22010791663886,0.999992566633523
"Sobic.001G007500",1,752730,0.603151871764012,0.422002516584288,738,0.599778713669509,0.599926208073082,-0.281204601278468,0.999992566633523
"Sobic.001G007600",1,757382,0.919476403804681,0.347527254499295,738,0.599778713669509,0.59978428999437,0.0648206119805748,0.999992566633523
"Sobic.001G007700",1,761429,0.392395200410144,0.377509387866491,738,0.599778713669509,0.600178047038647,-0.291840452206096,0.999992566633523
"Sobic.001G007800",1,766203,0.650505667991064,0.438992072979617,738,0.599778713669509,0.599890727669429,0.200951941347816,0.999992566633523
"Sobic.001G007900",1,770894,0.584973939242859,0.493088840974534,738,0.599778713669509,0.599941488389259,-0.215323214995422,0.999992566633523
"Sobic.001G008000",1,776659,0.496540626258905,0.436349982101889,738,0.599778713669509,0.600031051450884,0.257129838418217,0.999992566633523
"Sobic.001G008100",1,780929,0.132959203490594,0.440586116405013,738,0.599778713669509,0.601012438920856,0.845951164104924,0.999992566633523
"Sobic.001G008200",1,783808,0.774421075691972,0.493418364221008,738,0.599778713669509,0.599823533204488,-0.154854216806219,0.999992566633523
"Sobic.001G008300",1,792815,0.232930603067798,0.293486846783434,738,0.599778713669509,0.600555835764014,-0.349445681178733,0.999992566633523
"Sobic.001G008500",1,839788,0.351463530696364,0.403908398297829,738,0.599778713669509,0.600252694214631,0.648720458043918,0.999992566633523
"Sobic.001G008600",1,843612,0.606726245180062,0.269482610906532,738,0.599778713669509,0.599923315970541,0.161786658116407,0.999992566633523
"Sobic.001G008700",1,846447,0.989851830482147,0.437875260008766,738,0.599778713669509,0.599778801940732,-0.00398452926696422,0.999992566633523
"Sobic.001G008800",1,848426,0.406593694329967,0.452520618775188,738,0.599778713669509,0.60015468876857,0.489762250618678,0.999992566633523
"Sobic.001G008900",1,852510,0.0126589185563421,0.166262207089858,738,0.599778713669509,0.60318488583839,-0.648796519543102,0.903701986629148
"Sobic.001G009200",1,874190,0.00673068255990784,0.452748273801915,738,0.599778713669509,0.603805700006634,-0.975596913397839,0.854286938871061
"Sobic.001G009300",1,885642,0.617073152716061,0.421046448591508,738,0.599778713669509,0.599915146607471,-0.180672162854988,0.999992566633523
"Sobic.001G009400",1,889971,0.587446601221083,0.404788574488862,738,0.599778713669509,0.599939352690743,0.181634971124316,0.999992566633523
"Sobic.001G009500",1,893832,0.168242780830161,0.38313072260064,738,0.599778713669509,0.600815957954341,-0.478624687991359,0.999992566633523
"Sobic.001G009600",1,900561,0.0643159343496252,0.416687097018276,738,0.599778713669509,0.60165047687754,-0.824286335064795,0.99645996468289
"Sobic.001G009700",1,904584,0.390632641971737,0.270142542567719,738,0.599778713669509,0.600181031903786,-0.290249441173029,0.999992566633523
"Sobic.001G009800",1,920886,0.722560108956097,0.480009009524736,738,0.599778713669509,0.599847498191233,-0.1752600617306,0.999992566633523
"Sobic.001G009900",1,927359,0.16242883242588,0.344249902829148,738,0.599778713669509,0.60084491739369,-0.609430991074265,0.999992566633523
"Sobic.001G010000",1,930754,0.899311238526413,0.277960181193437,738,0.599778713669509,0.599787449460436,-0.0481064035550581,0.999992566633523
"Sobic.001G010100",1,933661,0.157870236388853,0.470254858258678,738,0.599778713669509,0.600868465654998,0.581275620345059,0.999992566633523
"Sobic.001G010200",1,941271,0.953670552362874,0.380103732092933,738,0.599778713669509,0.599780555391257,-0.0194272562038859,0.999992566633523
"Sobic.001G010300",1,945099,0.0339795983151629,0.446892634968744,738,0.599778713669509,0.602239273243622,1.09175792462202,0.966280203508883
"Sobic.001G010400",1,949757,0.362670857145305,0.297245315742327,738,0.599778713669509,0.600231093525356,0.535983180150561,0.999992566633523
"Sobic.001G010500",1,955002,0.881720614332919,0.1770283465193,738,0.599778713669509,0.599790793059481,0.0393753887853017,0.999992566633523
"Sobic.001G010600",1,959459,0.457747821456684,0.464929950102797,738,0.599778713669509,0.600079686633335,0.355899365269637,0.999992566633523
"Sobic.001G010700",1,965459,0.84245642963742,0.408434852447538,738,0.599778713669509,0.599800268115037,0.127905671279389,0.999992566633523
"Sobic.001G010800",1,972122,0.0978240326647326,0.477648422475855,738,0.599778713669509,0.60127691089396,0.522639703079144,0.999992566633523
"Sobic.001G010900",1,976125,0.000510503259715164,0.456196944418243,738,0.599778713669509,0.606422881830982,-1.68849382856006,0.334610857755812
"Sobic.001G011000",1,980100,0.850313355024401,0.433686429231538,738,0.599778713669509,0.599798146695948,-0.14242572948582,0.999992566633523
"Sobic.001G011100",1,1009052,0.131993650605853,0.0665960503792148,738,0.599778713669509,0.601018618126637,-0.423058450660819,0.999992566633523
"Sobic.001G011200",1,1010968,0.514366778796672,0.452736481577582,738,0.599778713669509,0.600010769570341,0.526229548791737,0.999992566633523
"Sobic.001G011300",1,1016447,0.18265560248075,0.437351861570375,738,0.599778713669509,0.600748869238525,-0.577191165595176,0.999992566633523
"Sobic.001G011400",1,1023191,0.449313549831134,0.412196521435912,738,0.599778713669509,0.600091146542702,0.259951121634998,0.999992566633523
"Sobic.001G011600",1,1028725,0.83872838142509,0.432309033701262,738,0.599778713669509,0.599801314693138,-0.103971487862512,0.999992566633523
